domanda,risposta,id,front,back,last_review,interval,ease_factor,repetitions,last_confidence,chapter,removed
"In the context of information systems, what is 'data'?","It is a fact or a measurement that models or describes a portion of reality, associated with a type specifying its domain of values.",ca8f9ae2-1a70-4060-849d-0f18535b818d,"In the context of information systems, what is 'data'?","It is a fact or a measurement that models or describes a portion of reality, associated with a type specifying its domain of values.",2026-01-31T09:44:51.406167,6,2.22,2,3,1.0,0
"According to the knowledge pyramid, what concept is built directly upon data?",Information.,f7b178aa-8e08-4cbb-b9a4-ddd9748bd97c,"According to the knowledge pyramid, what concept is built directly upon data?",Information.,2026-01-28T14:32:51.121423,1,2.36,1,3,1.0,1
"The knowledge pyramid provides a layered structure where the area of each level decreases as you ascend, representing a higher level of _____.",abstraction,02e5e183-ed66-4c88-b3b6-c88357ecdf24,"The knowledge pyramid provides a layered structure where the area of each level decreases as you ascend, representing a higher level of _____.",abstraction,2026-01-31T09:50:56.092746,6,2.22,2,3,1.0,0
What is a key characteristic of information as a company resource that distinguishes it from tangible resources?,"Information is intangible, non-perishable (not destroyed by use), and self-regenerating (its use generates new information).",3b8d184e-49a6-4808-8225-19777f04ad20,What is a key characteristic of information as a company resource that distinguishes it from tangible resources?,"Information is intangible, non-perishable (not destroyed by use), and self-regenerating (its use generates new information).",,0,2.5,0,0,1.0,1
"What are the three levels of processes in an organization, often referenced in relation to Anthony's pyramid?","Operational, control, and strategic.",070dfdcc-57d9-44a9-96a7-81156a1ad0f3,"What are the three levels of processes in an organization, often referenced in relation to Anthony's pyramid?","Operational, control, and strategic.",2026-01-31T09:11:24.736809,6,2.22,2,3,1.0,0
What is the primary role of an information system within an organization?,To be fed by events represented as data and transform them into information modeled according to user needs.,2fc2249a-0050-4694-b93f-7370a488da39,What is the primary role of an information system within an organization?,To be fed by events represented as data and transform them into information modeled according to user needs.,2026-01-31T09:46:47.858039,6,2.22,2,3,1.0,0
What is the key difference between OLTP and OLAP systems regarding their primary function?,"OLTP systems handle a large number of short, online transactions for operational tasks, while OLAP systems process complex queries on aggregated data for decision support.",44abb03a-2a0d-40de-b6ac-8fbab672717f,What is the key difference between OLTP and OLAP systems regarding their primary function?,"OLTP systems handle a large number of short, online transactions for operational tasks, while OLAP systems process complex queries on aggregated data for decision support.",2026-01-30T09:13:24.704673,6,2.22,2,3,4.0,0
"The phenomenon where new technologies create new business opportunities, leading to organizational changes, is known as _____.",technology push,69e9126d-aa1f-43dc-b018-e3ac78b87bac,"The phenomenon where new technologies create new business opportunities, leading to organizational changes, is known as _____.",technology push,,0,2.5,0,0,1.0,1
The phenomenon where decisions made at the strategic level impact technological choices is known as _____.,requirements pull,1448292f-a9ff-454c-8029-884a5cb9aea7,The phenomenon where decisions made at the strategic level impact technological choices is known as _____.,requirements pull,,0,2.5,0,0,1.0,1
What are the essential components of an IT-based information system?,The database (data storage component) and the applications that enable business processes and the user interface.,e58ff901-edca-468a-b65b-83f4c1554f5c,What are the essential components of an IT-based information system?,The database (data storage component) and the applications that enable business processes and the user interface.,2026-01-28T10:14:30.498085,1,2.36,1,3,1.0,1
What is Enterprise Architecture (EA)?,"A high-level blueprint used to analyze and describe an organization in its current and future state from an integrated perspective of strategy, business, and technology.",abb6cc38-854c-4f99-826d-c311a3bc3f96,What is Enterprise Architecture (EA)?,"A high-level blueprint used to analyze and describe an organization in its current and future state from an integrated perspective of strategy, business, and technology.",2026-01-31T09:17:08.356321,1,2.36,1,3,2.0,0
What is the term for the architecture representing an organization's current state?,As-is architecture.,07959506-b96b-4348-87a1-2ce945ff4b90,What is the term for the architecture representing an organization's current state?,As-is architecture.,,0,2.5,0,0,2.0,1
What is the term for the architecture representing an organization's desired future state?,To-be architecture.,b84ecc3a-38f2-452d-b601-fd00212e0be2,What is the term for the architecture representing an organization's desired future state?,To-be architecture.,2026-01-31T09:53:49.593859,1,2.36,1,3,2.0,0
What are the six aspects (columns) defined in the Zachman framework for Enterprise Architecture?,"Data (what), Functions (how), Network (where), People (who), Time (when), and Motivation (why).",5a8acb96-1906-4fcf-8469-802ca49149b6,What are the six aspects (columns) defined in the Zachman framework for Enterprise Architecture?,"Data (what), Functions (how), Network (where), People (who), Time (when), and Motivation (why).",2026-01-31T09:51:53.275931,1,2.5,1,4,2.0,0
What is ArchiMate?,A graphical modeling language for Enterprise Architecture that uses a layered and service-oriented approach.,b27b8ca0-334b-4152-9882-63bb9fcc510f,What is ArchiMate?,A graphical modeling language for Enterprise Architecture that uses a layered and service-oriented approach.,,0,2.5,0,0,2.0,1
What are the three core layers in the ArchiMate framework?,"The business layer, the application layer, and the technology layer.",200cd076-9dd2-4947-91cf-a19c865c7aa3,What are the three core layers in the ArchiMate framework?,"The business layer, the application layer, and the technology layer.",,0,2.5,0,0,2.0,1
"In ArchiMate, which type of relationship indicates that an element plays a critical role in the creation or operation of a more abstract entity?",The Realization relationship.,6144f673-f920-4444-920c-4c5c1aa21264,"In ArchiMate, which type of relationship indicates that an element plays a critical role in the creation or operation of a more abstract entity?",The Realization relationship.,,0,2.5,0,0,2.0,1
"In ArchiMate, which type of relationship models that an element provides its functionality to another element?",The Serving relationship.,1df70aac-fed7-46f3-b9a5-aa96b7feb936,"In ArchiMate, which type of relationship models that an element provides its functionality to another element?",The Serving relationship.,,0,2.5,0,0,2.0,1
What is a 'business process' in the context of process modeling?,A set of activities performed in a specific order to achieve a certain business goal.,5a72b6bc-bd9e-417a-b8f4-a9a8f9bb6f81,What is a 'business process' in the context of process modeling?,A set of activities performed in a specific order to achieve a certain business goal.,2026-01-31T10:03:15.001435,1,2.36,1,3,2.0,0
What is BPMN?,"Business Process Modeling Notation, one of the most widespread notations for modeling business processes in detail.",85f2ee36-3389-407a-8cac-33760f418e3c,What is BPMN?,"Business Process Modeling Notation, one of the most widespread notations for modeling business processes in detail.",,0,2.5,0,0,2.0,1
"In BPMN, what is used to explicitly indicate message exchanges between different organizations or processes?",A Message flow.,ead41d37-489b-4f31-a67a-87a772ab347b,"In BPMN, what is used to explicitly indicate message exchanges between different organizations or processes?",A Message flow.,,0,2.5,0,0,2.0,1
Porter's Value Chain model divides an organization's processes into what two main categories?,Primary processes and support processes.,fb3cc8c6-2fd3-4379-8e3c-b55d3da67b05,Porter's Value Chain model divides an organization's processes into what two main categories?,Primary processes and support processes.,,0,2.5,0,0,2.0,1
What does the term 'application portfolio' refer to?,The set of all software applications adopted by a company to support its various business functions.,b4508ced-7564-4be3-8420-8540f9227461,What does the term 'application portfolio' refer to?,The set of all software applications adopted by a company to support its various business functions.,2026-01-30T10:42:54.883054,6,2.22,2,3,3.0,0
What is an ERP system?,Enterprise Resource Planning (ERP) is a software suite composed of modules aimed at supporting a company’s operational activities and internal transactions.,600a6d38-32a6-4fc0-ab32-2e35cc7ea138,What is an ERP system?,Enterprise Resource Planning (ERP) is a software suite composed of modules aimed at supporting a company’s operational activities and internal transactions.,2026-01-30T10:15:29.796028,1,2.18,0,2,3.0,0
What is a CRM system?,Customer Relationship Management (CRM) is a set of modules supporting a strategy for managing interactions with potential and existing customers.,368aadf6-1d17-423c-bd1a-006614cb518a,What is a CRM system?,Customer Relationship Management (CRM) is a set of modules supporting a strategy for managing interactions with potential and existing customers.,2026-01-30T10:24:13.612066,1,2.36,1,3,3.0,0
What is a Data Warehouse (DW)?,"An archive containing an organization’s data, designed using a multidimensional model to facilitate analysis in support of managerial decisions.",0d8958fd-ab1e-478c-9ea0-38a6e5e8f9f5,What is a Data Warehouse (DW)?,"An archive containing an organization’s data, designed using a multidimensional model to facilitate analysis in support of managerial decisions.",,0,2.5,0,0,3.0,1
"The strategy of acquiring standardized, ready-to-use software modules is based on adopting _____ software.",COTS (Commercial Off-The-Shelf),a9b5627f-147f-4128-8b57-ba666f068c2a,"The strategy of acquiring standardized, ready-to-use software modules is based on adopting _____ software.",COTS (Commercial Off-The-Shelf),2026-01-30T10:42:49.610429,6,2.22,2,3,3.0,0
What are the three logical layers of an application's structure?,"The presentation logic (P), the application logic (A), and the data access logic (D).",a989281e-2a9d-4394-88e3-fb4b1682bf74,What are the three logical layers of an application's structure?,"The presentation logic (P), the application logic (A), and the data access logic (D).",2026-01-30T12:16:44.560789,14,2.32,3,5,3.0,0
"What term describes an older-generation system, inherited from the past, that is still very important for an organization?",A legacy system.,10c35372-95cc-459c-a595-6965488e5172,"What term describes an older-generation system, inherited from the past, that is still very important for an organization?",A legacy system.,,0,2.5,0,0,3.0,1
What are the three fundamental properties of ERP systems?,"Uniqueness of information, modularity, and prescriptiveness.",0c6b27cb-be5b-4efe-bf81-1dc7d99434b6,What are the three fundamental properties of ERP systems?,"Uniqueness of information, modularity, and prescriptiveness.",2026-01-30T10:37:56.902002,1,2.36,1,3,3.0,0
What is meant by the 'prescriptiveness' of an ERP system?,"It means the ERP product incorporates a company's operating logic and business rules, requiring the company to adapt to the software's optimized processes.",77fd6050-fff5-4b3a-b98e-f7cca68155a5,What is meant by the 'prescriptiveness' of an ERP system?,"It means the ERP product incorporates a company's operating logic and business rules, requiring the company to adapt to the software's optimized processes.",2026-01-30T10:34:47.688045,6,2.22,2,3,3.0,0
What is the 'Best of Breed' strategy in ERP module acquisition?,"It involves purchasing modules from different, highly specialized providers to get the best quality for various functions, though this requires significant integration effort.",5ee0bc5e-7b90-4dfc-b82b-f4cf051c0860,What is the 'Best of Breed' strategy in ERP module acquisition?,"It involves purchasing modules from different, highly specialized providers to get the best quality for various functions, though this requires significant integration effort.",2026-01-30T10:14:40.012415,1,2.36,1,3,3.0,0
What is the primary goal of Analytical CRM?,"To analyze customer data from operational CRM to extract strategic information, such as customer segmentation, preferences, and profitability.",a8c91ebc-f513-4e5a-879b-35ac4c3a3dcf,What is the primary goal of Analytical CRM?,"To analyze customer data from operational CRM to extract strategic information, such as customer segmentation, preferences, and profitability.",2026-01-30T10:43:58.516457,6,2.22,2,3,3.0,0
What is the primary goal of Collaborative CRM?,"To compute and share company-wide metrics, such as customer profitability and satisfaction, with internal stakeholders to evaluate the CRM's impact.",4c55a45b-133e-4542-9b07-41e087a137ce,What is the primary goal of Collaborative CRM?,"To compute and share company-wide metrics, such as customer profitability and satisfaction, with internal stakeholders to evaluate the CRM's impact.",2026-01-30T10:42:18.615456,1,2.36,1,3,3.0,0
What are the key differences between data in an OLTP system and data in an OLAP system (data warehouse)?,"OLAP data is historical, aggregated, read-only, and used by managers for strategic decisions, while OLTP data is current, detailed, and used for daily operations.",498c92c4-8973-4e52-a1f7-31f23deac152,What are the key differences between data in an OLTP system and data in an OLAP system (data warehouse)?,"OLAP data is historical, aggregated, read-only, and used by managers for strategic decisions, while OLTP data is current, detailed, and used for daily operations.",,0,2.5,0,0,1.0,1
What are the three core features of a data warehouse?,"It is subject-oriented, integrated, and time-variant.",99b04bd8-b244-4c38-9138-5c98feff0931,What are the three core features of a data warehouse?,"It is subject-oriented, integrated, and time-variant.",2026-01-30T10:42:07.939833,1,2.36,1,3,4.0,0
What does the acronym FASMI stand for in the context of OLAP systems?,"Fast, Analytical, Shared, Multidimensional, and Informational.",b8b8c82e-ae08-421e-94c0-a64e48012b9f,What does the acronym FASMI stand for in the context of OLAP systems?,"Fast, Analytical, Shared, Multidimensional, and Informational.",,0,2.5,0,0,1.0,1
What is the purpose of the ETL process in data warehousing?,"ETL (Extraction, Transformation, and Loading) is the process of extracting data from various sources, transforming it to be consistent, and loading it into the data warehouse.",68205f39-5cd8-4172-b4c8-d8ae148f703a,What is the purpose of the ETL process in data warehousing?,"ETL (Extraction, Transformation, and Loading) is the process of extracting data from various sources, transforming it to be consistent, and loading it into the data warehouse.",2026-01-30T09:10:06.639041,1,2.36,1,3,4.0,0
What is a 'data mart'?,"A subset of a corporate data warehouse, designed to meet the specific needs of a particular business unit or department.",d03878f3-4785-4931-b294-128b4eed26ae,What is a 'data mart'?,"A subset of a corporate data warehouse, designed to meet the specific needs of a particular business unit or department.",2026-01-30T09:06:19.752658,1,2.36,1,3,4.0,0
What is a 'star schema' in a data warehouse?,"A logical model where a central fact table is connected to multiple dimension tables, resembling a star.",9d272e0d-e4e0-41af-9e09-52ea113667f6,What is a 'star schema' in a data warehouse?,"A logical model where a central fact table is connected to multiple dimension tables, resembling a star.",2026-01-30T10:41:58.188425,1,2.36,1,3,4.0,0
The OLAP operation that allows obtaining more detailed data by descending along a dimension's hierarchy is called _____.,drill-down,42dd4bb4-c22a-4cca-a8e8-e3f6facb70f8,The OLAP operation that allows obtaining more detailed data by descending along a dimension's hierarchy is called _____.,drill-down,2026-01-30T09:09:41.750851,1,2.36,1,3,4.0,0
The OLAP operation that reduces the level of detail by ascending a dimension's hierarchy or removing a dimension is called _____.,roll-up,1b28e577-6155-46a0-9fbf-53a5800c2a33,The OLAP operation that reduces the level of detail by ascending a dimension's hierarchy or removing a dimension is called _____.,roll-up,2026-01-30T09:06:51.737444,1,2.36,1,3,4.0,0
What is Data Mining?,"The activity of automatically recognizing and extracting hidden information from large databases, such as a data warehouse.",497d18f0-9f9f-4696-8bb2-7a6a234c6504,What is Data Mining?,"The activity of automatically recognizing and extracting hidden information from large databases, such as a data warehouse.",2026-01-30T10:17:07.833863,6,2.22,2,3,4.0,0
What is the difference between supervised and unsupervised learning in data mining?,"Supervised learning uses a labeled training dataset with a known target variable, while unsupervised learning identifies patterns in unlabeled data without a predefined output.",b7c4b589-cf99-4f39-9f79-1bee0188748e,What is the difference between supervised and unsupervised learning in data mining?,"Supervised learning uses a labeled training dataset with a known target variable, while unsupervised learning identifies patterns in unlabeled data without a predefined output.",2026-01-30T10:44:04.420877,1,2.36,1,3,4.0,0
What two metrics are used to evaluate the validity of an association rule like $A \Rightarrow B$?,Support and confidence.,95b8caca-0f43-4c68-b9d0-d4cb3ae1dbad,What two metrics are used to evaluate the validity of an association rule like $A \Rightarrow B$?,Support and confidence.,2026-01-30T10:34:55.005750,1,2.36,1,3,4.0,0
"In data mining, what is 'confidence' in the context of association rules?","It measures how often the consequent occurs when the antecedent is present, expressed as the conditional probability $P(B|A)$.",85956809-36e7-4f1f-8576-af9339109295,"In data mining, what is 'confidence' in the context of association rules?","It measures how often the consequent occurs when the antecedent is present, expressed as the conditional probability $P(B|A)$.",2026-01-30T09:13:20.522808,1,2.36,1,3,4.0,0
What is the goal of the 'classification' technique in data mining?,To automatically assign elements of a database to predefined classes by building a model from an annotated training set.,d82304d8-3c6c-4804-980e-a33643b14b49,What is the goal of the 'classification' technique in data mining?,To automatically assign elements of a database to predefined classes by building a model from an annotated training set.,2026-01-30T10:13:04.452854,1,2.36,1,3,4.0,0
"In a classification model, what is a 'false negative'?",An instance where an individual is not classified as belonging to a class but should have been.,2ea4c3e9-1f33-4f4d-9ac8-8f85b897d74f,"In a classification model, what is a 'false negative'?",An instance where an individual is not classified as belonging to a class but should have been.,2026-01-30T09:07:31.763534,1,2.36,1,3,4.0,0
What is the goal of the 'clustering' technique in data mining?,To group a set of objects in such a way that objects in the same group (cluster) are more similar to each other than to those in other groups.,0c6df42a-ea9e-4b54-b439-c9f28ab25d9b,What is the goal of the 'clustering' technique in data mining?,To group a set of objects in such a way that objects in the same group (cluster) are more similar to each other than to those in other groups.,2026-01-30T09:07:43.224986,1,2.36,1,3,4.0,0
What is Process Mining?,"An approach that analyzes business processes based on event logs to discover, monitor, and improve how processes are actually performed.",11877896-723c-46b2-944a-b38e506a65d1,What is Process Mining?,"An approach that analyzes business processes based on event logs to discover, monitor, and improve how processes are actually performed.",2026-01-30T09:12:59.341854,1,2.36,1,3,4.0,0
What are the three main types of process mining?,"Process discovery, conformance checking, and enhancement.",6aec0af4-e2b5-4c4b-ac47-fdfd0b51b7e0,What are the three main types of process mining?,"Process discovery, conformance checking, and enhancement.",2026-01-30T09:07:19.639440,1,2.36,1,3,4.0,0
What is 'conformance checking' in process mining?,It is the comparison of an existing process model with an event log to verify whether reality (the log) conforms to the model.,9d3c4dc8-fd33-47d7-be68-9153044edc98,What is 'conformance checking' in process mining?,It is the comparison of an existing process model with an event log to verify whether reality (the log) conforms to the model.,,0,2.5,0,0,2.0,1
"What problem arises from having separate, non-integrated 'information silos' within an organization?","It leads to data redundancy, potential inconsistencies, limited performance, and obstacles to cross-functional collaboration.",45d2dbd2-30be-4f48-85b7-da196065e7b4,"What problem arises from having separate, non-integrated 'information silos' within an organization?","It leads to data redundancy, potential inconsistencies, limited performance, and obstacles to cross-functional collaboration.",2026-01-30T12:17:35.753208,14,2.32,3,5,3.0,0
What is a 'point-to-point' integration architecture?,"An architecture where each application is directly connected to every other application it needs to communicate with, creating a complex web of connections.",602565be-5c63-4f8a-8046-cfd305727868,What is a 'point-to-point' integration architecture?,"An architecture where each application is directly connected to every other application it needs to communicate with, creating a complex web of connections.",,0,2.5,0,0,5.0,0
What is a 'hub-and-spoke' integration architecture?,"An architecture where applications communicate through a central hub or broker, which manages message routing and transformation.",571c222b-f964-453c-a6c6-883ff9c0503e,What is a 'hub-and-spoke' integration architecture?,"An architecture where applications communicate through a central hub or broker, which manages message routing and transformation.",,0,2.5,0,0,5.0,0
What is a Service-Oriented Architecture (SOA)?,"A software design paradigm where functionalities are implemented as modular, independent services that can be remotely invoked over a network.",525e9f88-4863-44a2-bb0d-217cb4214dd4,What is a Service-Oriented Architecture (SOA)?,"A software design paradigm where functionalities are implemented as modular, independent services that can be remotely invoked over a network.",,0,2.5,0,0,5.0,0
What is a Service Level Agreement (SLA)?,"A quality agreement with service consumers that defines the guaranteed non-functional characteristics of a service, such as response time and availability.",7ee8c9b0-57ab-499f-9a09-35556fa430ac,What is a Service Level Agreement (SLA)?,"A quality agreement with service consumers that defines the guaranteed non-functional characteristics of a service, such as response time and availability.",,0,2.5,0,0,5.0,0
"In SOA, what is the role of a 'Service Registry'?","It is a directory where service providers publish information about their services, allowing service requestors to discover and learn how to use them.",33f59df9-4fec-4b9c-aa1a-b864a5c304c7,"In SOA, what is the role of a 'Service Registry'?","It is a directory where service providers publish information about their services, allowing service requestors to discover and learn how to use them.",,0,2.5,0,0,5.0,0
What distinguishes a 'thin client' from a 'thick client' in a two-tiered architecture?,"A thin client only handles presentation logic (e.g., a web browser), while a thick client also handles some or all of the application logic locally.",dfb907d6-7e31-4194-a312-9b40fe2d8e6f,What distinguishes a 'thin client' from a 'thick client' in a two-tiered architecture?,"A thin client only handles presentation logic (e.g., a web browser), while a thick client also handles some or all of the application logic locally.",,0,2.5,0,0,5.0,0
"A web-based information system with a browser, web server, script engine, application server, and DBMS is an example of a _____ architecture.",5-tier,88b97cbb-7482-4ca6-a147-84fc07a25b5a,"A web-based information system with a browser, web server, script engine, application server, and DBMS is an example of a _____ architecture.",5-tier,2026-01-28T10:15:13.395545,1,2.36,1,3,5.0,0
What is vertical scalability (scale-up)?,Increasing a system's capacity by adding more resources (like CPU or memory) to a single existing machine.,c1148ada-786b-4644-86ac-840a73b9a8aa,What is vertical scalability (scale-up)?,Increasing a system's capacity by adding more resources (like CPU or memory) to a single existing machine.,,0,2.5,0,0,5.0,0
What is horizontal scalability (scale-out)?,"Increasing a system's capacity by adding more machines to a pool of resources, distributing the load among them.",53d40199-f1b8-43c9-8556-7d716430555c,What is horizontal scalability (scale-out)?,"Increasing a system's capacity by adding more machines to a pool of resources, distributing the load among them.",,0,2.5,0,0,5.0,0
What is 'elasticity' in the context of system architecture?,The property of a system to automatically increase resources in response to demand spikes and also reduce them when demand falls.,60c560c1-0fb4-42b7-a100-173902ddf2f1,What is 'elasticity' in the context of system architecture?,The property of a system to automatically increase resources in response to demand spikes and also reduce them when demand falls.,2026-01-28T10:12:40.144752,1,2.36,1,3,7.0,0
What is a 'server farm'?,"A set of computing units that share processing load, applications, and potentially data, appearing as a single resource to other architectural levels.",132c452e-ea32-4dc1-b8a0-4ad2dcc7a60c,What is a 'server farm'?,"A set of computing units that share processing load, applications, and potentially data, appearing as a single resource to other architectural levels.",2026-01-28T10:16:09.178548,1,2.36,1,3,5.0,0
What is virtualization?,A technology that allows creating multiple simulated environments or dedicated resources (virtual machines) from a single physical hardware system.,cc3a7d59-7d95-4e81-8779-2776c25b4c73,What is virtualization?,A technology that allows creating multiple simulated environments or dedicated resources (virtual machines) from a single physical hardware system.,,0,2.5,0,0,5.0,0
What is Cloud Computing?,A model for enabling on-demand network access to a shared pool of configurable computing resources that can be rapidly provisioned with minimal management effort.,422904eb-576f-49af-83c3-b5357da26202,What is Cloud Computing?,A model for enabling on-demand network access to a shared pool of configurable computing resources that can be rapidly provisioned with minimal management effort.,,0,2.5,0,0,5.0,0
What are the three primary service models in Cloud Computing?,"Infrastructure as a Service (IaaS), Platform as a Service (PaaS), and Software as a Service (SaaS).",c56ab9a9-b20a-4283-bc42-6cf575ad81d2,What are the three primary service models in Cloud Computing?,"Infrastructure as a Service (IaaS), Platform as a Service (PaaS), and Software as a Service (SaaS).",,0,2.5,0,0,5.0,0
What are the four main deployment models for Cloud Computing?,"Public cloud, private cloud, community cloud, and hybrid cloud.",12483d43-4222-4d3b-a801-0b6455e0e69a,What are the four main deployment models for Cloud Computing?,"Public cloud, private cloud, community cloud, and hybrid cloud.",,0,2.5,0,0,5.0,0
What are the four fundamental security properties of an information system?,"Integrity, Authenticity, Confidentiality, and Availability.",7e6d914d-7a99-4461-9341-6df0285d900a,What are the four fundamental security properties of an information system?,"Integrity, Authenticity, Confidentiality, and Availability.",,0,2.5,0,0,7.0,0
What is the security property that ensures information is not altered by unauthorized users or processes?,Integrity.,b9efa432-90f4-4153-859d-503bb2f706a9,What is the security property that ensures information is not altered by unauthorized users or processes?,Integrity.,,0,2.5,0,0,7.0,0
What is the security property that ensures information and resources are available to authorized users within expected times?,Availability.,d2356b7d-60da-4ae3-91da-181c374fec82,What is the security property that ensures information and resources are available to authorized users within expected times?,Availability.,2026-01-28T10:14:10.494893,1,2.36,1,3,7.0,0
What is the fundamental difference between symmetric and asymmetric cryptography?,"Symmetric cryptography uses a single shared secret key for both encryption and decryption, while asymmetric cryptography uses a pair of keys: a public key for encryption and a private key for decryption.",4e0263ab-6808-4534-910e-7d8bd720667b,What is the fundamental difference between symmetric and asymmetric cryptography?,"Symmetric cryptography uses a single shared secret key for both encryption and decryption, while asymmetric cryptography uses a pair of keys: a public key for encryption and a private key for decryption.",,0,2.5,0,0,7.0,0
What is a hash function used for in security?,It transforms a message of arbitrary length into a fixed-length output (digest) to verify the message's integrity.,98dd4f85-5507-4931-94ba-bfea30f30634,What is a hash function used for in security?,It transforms a message of arbitrary length into a fixed-length output (digest) to verify the message's integrity.,,0,2.5,0,0,7.0,0
How is a digital signature created?,It is created by calculating the hash (digest) of a document and then encrypting that digest with the sender's private key.,9bfcb286-fe40-44c0-9613-3b77f4960192,How is a digital signature created?,It is created by calculating the hash (digest) of a document and then encrypting that digest with the sender's private key.,,0,2.5,0,0,7.0,0
How is a digital signature verified?,The recipient decrypts the received signature with the sender's public key to get the original digest and compares it to a freshly calculated digest of the received document.,cb131efa-edb0-43b3-a87f-3d0ee7c8f98f,How is a digital signature verified?,The recipient decrypts the received signature with the sender's public key to get the original digest and compares it to a freshly calculated digest of the received document.,,0,2.5,0,0,7.0,0
What is the role of a Certification Authority (CA)?,A CA is a trusted third party that issues digital certificates to verify that a specific public key belongs to a specific entity.,e532da12-6ccc-47b0-b5e1-49e9ee45d591,What is the role of a Certification Authority (CA)?,A CA is a trusted third party that issues digital certificates to verify that a specific public key belongs to a specific entity.,,0,2.5,0,0,7.0,0
